DATE,m_active_time,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps
20130514,3160.0,4720.0,28800.0,487.0,6180.0,5991.0
20130515,1062.0,1494.0,29700.0,170.0,3240.0,1934.0
20130516,10801.0,18007.0,23280.0,3532.0,3840.0,21385.0
20130517,3697.0,5120.0,31140.0,826.0,21960.0,6679.0
20130518,3492.0,4711.0,22620.0,640.0,5280.0,6202.0
20130519,7245.0,11971.0,21540.0,5622.0,4020.0,14215.0
20130520,3441.0,4633.0,24120.0,767.0,4380.0,6123.0
20130521,5804.0,8255.0,29820.0,1417.0,4800.0,10684.0
20130522,1171.0,1757.0,28920.0,323.0,7140.0,2191.0
20130523,7486.0,14310.0,26100.0,2522.0,5880.0,15911.0
20130524,11238.0,18922.0,22140.0,3015.0,10260.0,22468.0
20130525,10056.0,17200.0,21540.0,2883.0,7320.0,20029.0
20130526,10406.0,15555.0,26160.0,2129.0,12300.0,19743.0
20130527,10466.0,13819.0,19980.0,3804.0,8040.0,18431.0
20130528,4936.0,7172.0,30060.0,648.0,7020.0,9174.0
20130529,4884.0,6954.0,28860.0,696.0,9600.0,9006.0
20130530,5218.0,9237.0,28140.0,2084.0,9420.0,10635.0
20130531,9045.0,15513.0,24480.0,2313.0,6120.0,18102.0
20130601,2937.0,3971.0,26940.0,738.0,7320.0,5210.0
20130602,7487.0,10095.0,24000.0,1753.0,5100.0,13344.0
20130603,1485.0,2168.0,28920.0,166.0,4320.0,2764.0
20130604,3114.0,4763.0,28980.0,685.0,9540.0,5992.0
20130605,4902.0,7401.0,29340.0,1076.0,8520.0,9322.0
20130606,9500.0,16702.0,28620.0,3301.0,10320.0,19262.0
20130607,5687.0,8495.0,30300.0,959.0,14820.0,10736.0
20130608,8129.0,11289.0,26100.0,1311.0,7260.0,14729.0
20130609,4640.0,7098.0,29160.0,1484.0,13620.0,8941.0
20130610,8902.0,15727.0,21120.0,3600.0,6180.0,18060.0
20130611,6411.0,9158.0,22920.0,1040.0,4380.0,11809.0
20130612,3555.0,5341.0,27240.0,749.0,4200.0,6757.0
20130613,4252.0,6327.0,27000.0,630.0,7320.0,8020.0
20130614,5689.0,8113.0,25500.0,637.0,5280.0,10487.0
20130615,5660.0,8072.0,22680.0,2549.0,8160.0,10392.0
20130616,5205.0,6332.0,27480.0,2150.0,3540.0,8707.0
20130617,7952.0,12911.0,29640.0,4001.0,8400.0,15545.0
20130618,3614.0,18.0,0.0,14.0,0.0,24.0
20130619,6770.0,12376.0,25920.0,2360.0,5340.0,13953.0
20130620,4420.0,6253.0,29160.0,736.0,12180.0,8099.0
20130621,8270.0,11145.0,29520.0,1031.0,10380.0,14724.0
20130622,16772.0,20062.0,13200.0,3941.0,2040.0,27798.0
20130623,6064.0,7275.0,22920.0,983.0,4740.0,10054.0
20130624,3010.0,4224.0,29220.0,511.0,5040.0,5490.0
20130625,3536.0,5288.0,28200.0,600.0,7500.0,6703.0
20130626,5164.0,7635.0,28260.0,711.0,7380.0,9724.0
20130627,4865.0,7218.0,28620.0,601.0,8340.0,9171.0
20130628,4721.0,6585.0,28500.0,1103.0,8700.0,8564.0
20130629,12544.0,16643.0,18480.0,1745.0,3360.0,22172.0
20130630,7007.0,9298.0,25560.0,1317.0,9300.0,12373.0
20130701,6194.0,7753.0,24600.0,550.0,7320.0,10510.0
20130702,10681.0,12421.0,18900.0,2779.0,2400.0,17388.0
20130703,13961.0,20831.0,16320.0,2288.0,3060.0,26239.0
20130704,6044.0,7630.0,23460.0,833.0,7440.0,10360.0
20130705,4636.0,6195.0,21660.0,1029.0,5760.0,8194.0
20130706,4430.0,6146.0,28260.0,1404.0,5340.0,8016.0
20130707,6027.0,8188.0,21600.0,1794.0,9180.0,10786.0
20130708,3821.0,5601.0,31140.0,585.0,19680.0,7131.0
20130709,3758.0,5631.0,29400.0,501.0,8880.0,7087.0
20130710,5491.0,8128.0,25680.0,863.0,6300.0,10329.0
20130711,1205.0,1715.0,30360.0,84.0,9420.0,2211.0
20130712,5878.0,9861.0,29460.0,1773.0,12720.0,11662.0
20130713,1800.0,2345.0,25560.0,754.0,9360.0,3139.0
20130714,,,,,,
20130715,,,,,,
20130716,,,,,,
20130717,,,,,,
20130718,,,,,,
20130719,,,,,,
20130720,,,,,,
20130721,,,,,,
20130722,,,,,,
20130723,,,,,,
20130724,,,,,,
20130725,,,,,,
20130726,,,,,,
20130727,,,,,,
20130728,,,,,,
20130729,,,,,,
20130730,,,,,,
20130731,,,,,,
20130801,2322.0,3267.0,32220.0,622.0,32100.0,4254.0
20130802,7590.0,13039.0,30720.0,2336.0,8100.0,15120.0
20130803,4716.0,6713.0,25800.0,1082.0,11820.0,8655.0
20130804,5426.0,6398.0,25320.0,3195.0,10200.0,8914.0
20130805,2848.0,4278.0,29340.0,450.0,11400.0,5396.0
20130806,3348.0,4962.0,29640.0,539.0,7020.0,6326.0
20130807,7776.0,13356.0,25800.0,1678.0,7980.0,15601.0
20130808,3946.0,5421.0,26460.0,939.0,3000.0,7117.0
20130809,2237.0,3169.0,30960.0,651.0,5040.0,4104.0
20130810,5185.0,7453.0,28080.0,1617.0,15300.0,9570.0
20130811,3984.0,5695.0,26460.0,3042.0,6660.0,7330.0
20130812,3114.0,4400.0,29460.0,514.0,8640.0,5703.0
20130813,7149.0,12809.0,28920.0,2632.0,10020.0,14704.0
20130814,2861.0,4281.0,30000.0,504.0,13500.0,5434.0
20130815,9335.0,16601.0,29520.0,3677.0,9600.0,19038.0
20130816,8829.0,12479.0,22980.0,2039.0,4260.0,16168.0
20130817,5856.0,7659.0,23040.0,2104.0,5340.0,10240.0
20130818,4049.0,7846.0,28080.0,2589.0,4260.0,8543.0
20130819,3386.0,4917.0,27900.0,963.0,3840.0,6290.0
20130820,8461.0,15218.0,25380.0,4337.0,9960.0,17345.0
20130821,4893.0,7185.0,23460.0,1309.0,3300.0,9158.0
20130822,2984.0,3961.0,25020.0,753.0,11940.0,5227.0
20130823,3862.0,5255.0,27840.0,973.0,9540.0,6929.0
20130824,10305.0,13605.0,15480.0,3277.0,2700.0,18071.0
20130825,5935.0,7649.0,20220.0,809.0,6900.0,10261.0
20130826,1186.0,1509.0,30060.0,128.0,5100.0,2041.0
20130827,1702.0,2275.0,29640.0,175.0,3240.0,3000.0
20130828,1274.0,1705.0,29760.0,113.0,4440.0,2254.0
20130829,5008.0,7362.0,21660.0,1599.0,3360.0,9378.0
20130830,8955.0,12430.0,17880.0,1686.0,2520.0,16215.0
20130831,11775.0,16210.0,14160.0,1580.0,3120.0,21195.0
20130901,4130.0,5658.0,23760.0,1080.0,6900.0,7399.0
20130902,2842.0,3470.0,28560.0,816.0,7500.0,4756.0
20130903,9575.0,14923.0,28380.0,2391.0,7140.0,18326.0
20130904,8557.0,11299.0,25500.0,1598.0,9000.0,15037.0
20130905,16232.0,19875.0,18420.0,7835.0,3180.0,27292.0
20130906,17248.0,23455.0,14640.0,5414.0,8100.0,30869.0
20130907,10773.0,15579.0,25320.0,1406.0,15780.0,19995.0
20130908,8012.0,10936.0,22740.0,1388.0,3780.0,14336.0
20130909,4121.0,6155.0,30420.0,911.0,20640.0,7803.0
20130910,4429.0,6872.0,29340.0,1722.0,11640.0,8575.0
20130911,2903.0,4217.0,28560.0,661.0,6360.0,5397.0
20130912,3095.0,4516.0,29580.0,518.0,10080.0,5788.0
20130913,5448.0,8570.0,29160.0,732.0,10260.0,10580.0
20130914,2096.0,2969.0,28440.0,623.0,6660.0,3834.0
20130915,5964.0,10562.0,24300.0,1994.0,9840.0,12084.0
20130916,4923.0,8936.0,27840.0,2280.0,7800.0,10083.0
20130917,6834.0,10841.0,26040.0,1859.0,7080.0,13034.0
20130918,5024.0,6827.0,25200.0,672.0,4320.0,8974.0
20130919,3739.0,5438.0,28080.0,618.0,6480.0,6947.0
20130920,11100.0,20902.0,19980.0,3128.0,3480.0,23453.0
20130921,12378.0,21181.0,20940.0,1974.0,9660.0,25272.0
20130922,5604.0,8465.0,26760.0,1670.0,9300.0,10463.0
20130923,4631.0,6707.0,27960.0,541.0,4680.0,8613.0
20130924,5700.0,8258.0,29100.0,666.0,6060.0,10618.0
20130925,5452.0,7732.0,29940.0,1185.0,9420.0,10011.0
20130926,10133.0,13932.0,21000.0,3164.0,5040.0,18261.0
20130927,4069.0,6014.0,29160.0,642.0,15720.0,7653.0
20130928,6589.0,9438.0,27420.0,1250.0,8040.0,12182.0
20130929,625.0,840.0,31020.0,158.0,8040.0,1109.0
20130930,3455.0,4727.0,29340.0,584.0,9120.0,6202.0
20131001,4190.0,5702.0,28200.0,1055.0,8160.0,7506.0
20131002,5684.0,8921.0,30780.0,3311.0,11220.0,10815.0
20131003,359.0,522.0,31080.0,53.0,6120.0,666.0
20131004,3270.0,4557.0,29100.0,476.0,6840.0,5942.0
20131005,6796.0,13557.0,26160.0,3375.0,6480.0,14690.0
20131006,2230.0,2911.0,31260.0,1022.0,9780.0,3910.0
20131007,5229.0,7513.0,28140.0,1490.0,7500.0,9670.0
20131008,5410.0,7900.0,29820.0,926.0,5520.0,10108.0
20131009,3885.0,5573.0,28260.0,668.0,9540.0,7171.0
20131010,4302.0,5841.0,29940.0,784.0,9000.0,7691.0
20131011,7378.0,11853.0,25140.0,1864.0,5160.0,14252.0
20131012,6405.0,10514.0,24660.0,3374.0,10320.0,12558.0
20131013,898.0,1322.0,31020.0,155.0,7140.0,1686.0
20131014,810.0,1155.0,30960.0,117.0,7860.0,1491.0
20131015,8537.0,14520.0,28020.0,2351.0,8940.0,16999.0
20131016,4597.0,7300.0,27840.0,980.0,9060.0,8861.0
20131017,5842.0,8511.0,27180.0,1058.0,6120.0,10917.0
20131018,6183.0,8334.0,27060.0,1095.0,5640.0,11016.0
20131019,8136.0,12195.0,28800.0,2629.0,5340.0,15060.0
20131020,6895.0,11235.0,25800.0,3606.0,6780.0,13441.0
20131021,2772.0,3958.0,29640.0,490.0,16140.0,5101.0
20131022,3631.0,5234.0,27900.0,660.0,5940.0,6732.0
20131023,3572.0,5158.0,28560.0,559.0,9180.0,6634.0
20131024,5266.0,9389.0,29460.0,1317.0,6360.0,10826.0
20131025,4078.0,5842.0,28680.0,997.0,10680.0,7516.0
20131026,3571.0,4945.0,28140.0,964.0,8220.0,6451.0
20131027,2047.0,2588.0,26100.0,530.0,5700.0,3496.0
20131028,7177.0,12865.0,30000.0,3566.0,7440.0,14698.0
20131029,4002.0,5776.0,27780.0,459.0,6000.0,7428.0
20131030,4262.0,6071.0,29040.0,601.0,6420.0,7835.0
20131031,7105.0,9632.0,23220.0,1521.0,3120.0,12678.0
20131101,12080.0,15901.0,22260.0,2020.0,2340.0,21185.0
20131102,6802.0,8700.0,27240.0,1474.0,6600.0,11720.0
20131103,160.0,219.0,32400.0,68.0,32400.0,288.0
20131104,3592.0,5037.0,27360.0,687.0,6300.0,6550.0
20131105,5715.0,8517.0,19680.0,1357.0,2580.0,10779.0
20131106,4118.0,5740.0,28020.0,544.0,9660.0,7488.0
20131107,6531.0,10838.0,30000.0,1993.0,3840.0,12884.0
20131108,3032.0,5374.0,27780.0,1166.0,3960.0,6201.0
20131109,10157.0,13391.0,21300.0,1320.0,6720.0,17839.0
20131110,720.0,986.0,30120.0,118.0,8280.0,1288.0
20131111,4908.0,7071.0,22980.0,889.0,3960.0,9086.0
20131112,4920.0,7068.0,28860.0,1009.0,11880.0,9093.0
20131113,,,,,,
20131114,3632.0,5417.0,28020.0,566.0,10320.0,6862.0
20131115,5572.0,10134.0,27120.0,2351.0,2940.0,11474.0
20131116,5266.0,9035.0,26820.0,2034.0,4260.0,10516.0
20131117,1904.0,2636.0,0.0,680.0,0.0,3445.0
20131118,988.0,1452.0,6300.0,559.0,1440.0,1849.0
20131119,1232.0,1843.0,4140.0,573.0,2700.0,2323.0
20131120,,,,,,
20131121,,,,,,
20131122,,,,,,
20131123,,,,,,
20131124,,,,,,
20131125,,,,,,
20131126,,,,,,
20131127,,,,,,
20131128,,,,,,
20131129,,,,,,
20131130,,,,,,
20131201,,,,,,
20131202,,,,,,
20131203,3051.0,4463.0,29340.0,476.0,6060.0,5702.0
20131204,3774.0,5472.0,29160.0,849.0,9060.0,7003.0
20131205,3939.0,5512.0,30300.0,1107.0,12720.0,7170.0
20131206,1404.0,2082.0,28560.0,173.0,6960.0,2651.0
20131207,4983.0,9538.0,23820.0,2864.0,2940.0,10567.0
20131208,8060.0,12604.0,28200.0,2900.0,7800.0,15782.0
20131209,191.0,274.0,32100.0,31.0,12480.0,353.0
20131210,4421.0,6442.0,28500.0,764.0,7440.0,8234.0
20131211,2312.0,3617.0,29880.0,401.0,23940.0,4504.0
20131212,4606.0,6975.0,29460.0,1114.0,22620.0,8811.0
20131213,2688.0,3738.0,28680.0,1122.0,3960.0,4870.0
20131214,828.0,1184.0,30120.0,122.0,4620.0,1528.0
20131215,2219.0,3133.0,28020.0,1813.0,5340.0,4079.0
20131216,3068.0,4334.0,31380.0,1883.0,4080.0,5604.0
20131217,5164.0,7545.0,29160.0,881.0,6420.0,9656.0
20131218,5325.0,7796.0,28740.0,851.0,5040.0,9955.0
20131219,4591.0,6982.0,27540.0,865.0,8760.0,8780.0
20131220,1673.0,2552.0,30780.0,1138.0,4320.0,3213.0
20131221,6623.0,10379.0,25920.0,2987.0,12300.0,12611.0
20131222,3251.0,6234.0,27420.0,2608.0,8640.0,6902.0
20131223,2654.0,3967.0,26520.0,457.0,4800.0,5006.0
20131224,2581.0,3418.0,28920.0,1016.0,7980.0,4548.0
20131225,2512.0,3378.0,27720.0,347.0,4500.0,4472.0
20131226,4931.0,7013.0,22260.0,1282.0,3060.0,9046.0
20131227,9776.0,17069.0,20040.0,3850.0,7800.0,19736.0
20131228,95.0,128.0,0.0,66.0,0.0,168.0
20131229,,,,,,
20131230,4074.0,6080.0,32400.0,755.0,32400.0,7716.0
20131231,4481.0,6641.0,28560.0,638.0,12720.0,8450.0
20140101,3636.0,5251.0,27900.0,917.0,9840.0,6729.0
20140102,6014.0,10485.0,25080.0,2954.0,7380.0,12184.0
20140103,1757.0,2692.0,31620.0,1384.0,11160.0,3389.0
20140104,3368.0,4895.0,27900.0,509.0,10800.0,6273.0
20140105,258.0,358.0,32040.0,55.0,12060.0,466.0
20140106,2939.0,4521.0,28440.0,519.0,4740.0,5684.0
20140107,3246.0,5067.0,27480.0,395.0,6840.0,6316.0
20140108,4187.0,6592.0,28500.0,1059.0,5820.0,8210.0
20140109,3469.0,5433.0,28560.0,510.0,3660.0,6767.0
20140110,1241.0,1851.0,30180.0,176.0,4800.0,2355.0
20140111,6647.0,12289.0,22800.0,4317.0,3480.0,13864.0
20140112,3687.0,5200.0,28800.0,699.0,8520.0,6723.0
20140113,5263.0,7685.0,27960.0,891.0,4800.0,9834.0
20140114,3379.0,4816.0,29340.0,512.0,7800.0,6219.0
20140115,2807.0,4100.0,28860.0,486.0,11640.0,5236.0
20140116,2960.0,4663.0,28500.0,565.0,13020.0,5803.0
20140117,5049.0,9196.0,26880.0,1625.0,4200.0,10472.0
20140118,3198.0,4474.0,29820.0,669.0,16740.0,5816.0
20140119,2454.0,3551.0,24540.0,950.0,7020.0,4571.0
20140120,4280.0,8406.0,26640.0,2326.0,10020.0,9162.0
20140121,3125.0,4744.0,29940.0,688.0,7800.0,6005.0
20140122,4031.0,6062.0,27540.0,801.0,6420.0,7676.0
20140123,4811.0,6985.0,29460.0,1144.0,12480.0,8946.0
20140124,2391.0,3310.0,27420.0,912.0,3180.0,4331.0
20140125,4604.0,6703.0,21000.0,554.0,5160.0,8578.0
20140126,4464.0,6771.0,27840.0,997.0,6900.0,8503.0
20140127,553.0,790.0,30540.0,118.0,8040.0,1019.0
20140128,7532.0,13608.0,28440.0,3380.0,6480.0,15590.0
20140129,3596.0,5534.0,27840.0,775.0,5760.0,6960.0
20140130,5800.0,8595.0,27600.0,949.0,4740.0,10942.0
20140131,4835.0,9557.0,27060.0,2448.0,7860.0,10455.0
20140201,293.0,427.0,32100.0,55.0,23580.0,548.0
20140202,3621.0,29.0,32400.0,21.0,32400.0,39.0
20140203,,,,,,
20140204,,,,,,
20140205,,,,,,
20140206,,,,,,
20140207,,,,,,
20140208,,,,,,
20140209,,,,,,
20140210,,,,,,
20140211,64.0,101.0,32400.0,23.0,32400.0,126.0
20140212,723.0,1107.0,31680.0,108.0,7080.0,1382.0
20140213,519.0,752.0,30540.0,179.0,5940.0,969.0
20140214,747.0,1021.0,30360.0,60.0,9600.0,1338.0
20140215,9223.0,16376.0,21360.0,3953.0,7440.0,18896.0
20140216,2312.0,3408.0,31560.0,1289.0,10980.0,4338.0
20140217,2570.0,3522.0,30600.0,918.0,7800.0,4608.0
20140218,3482.0,4792.0,28320.0,439.0,9900.0,6265.0
20140219,3689.0,5035.0,25860.0,486.0,5520.0,6596.0
20140220,2495.0,3364.0,28500.0,513.0,5160.0,4445.0
20140221,3544.0,5220.0,29280.0,929.0,9060.0,6639.0
20140222,7869.0,15119.0,20700.0,3898.0,4320.0,16737.0
20140223,5708.0,7756.0,25980.0,1496.0,9720.0,10219.0
20140224,604.0,777.0,29940.0,54.0,6900.0,1045.0
20140225,5513.0,8117.0,27780.0,1154.0,8160.0,10351.0
20140226,4988.0,6685.0,27360.0,746.0,3540.0,8864.0
20140227,1097.0,1565.0,29460.0,123.0,5100.0,2017.0
20140228,3816.0,5324.0,29280.0,781.0,5940.0,6931.0
20140301,4311.0,5551.0,28140.0,1002.0,20340.0,7466.0
20140302,3431.0,6808.0,32100.0,1461.0,12240.0,7421.0
20140303,689.0,915.0,30720.0,197.0,6480.0,1214.0
20140304,4662.0,6652.0,27960.0,844.0,7800.0,8583.0
20140305,5045.0,6488.0,29160.0,2831.0,7200.0,8715.0
20140306,3392.0,7121.0,28080.0,1839.0,7140.0,7510.0
20140307,3900.0,5326.0,29940.0,1026.0,8160.0,7004.0
20140308,10243.0,16701.0,19800.0,2634.0,6180.0,19947.0
20140309,2106.0,3423.0,31200.0,413.0,6840.0,4172.0
20140310,4833.0,6111.0,27960.0,1050.0,9480.0,8268.0
20140311,6295.0,10917.0,28680.0,1456.0,7800.0,12628.0
20140312,5464.0,10501.0,28440.0,3906.0,3900.0,11559.0
20140313,2856.0,4110.0,31620.0,1260.0,14100.0,5285.0
20140314,4453.0,5960.0,28500.0,809.0,4440.0,7873.0
20140315,10014.0,16815.0,19560.0,4049.0,2700.0,19828.0
20140316,1699.0,2597.0,31680.0,250.0,18060.0,3256.0
20140317,3182.0,6819.0,26700.0,2535.0,12900.0,7188.0
20140318,207.0,311.0,31860.0,35.0,9060.0,392.0
20140319,6007.0,10648.0,22140.0,2264.0,6060.0,12283.0
20140320,5051.0,9766.0,27840.0,2838.0,3960.0,10749.0
20140321,4018.0,8039.0,26520.0,2507.0,8700.0,8694.0
20140322,6308.0,8436.0,23040.0,1889.0,5400.0,11131.0
20140323,6851.0,11201.0,25860.0,2674.0,6480.0,13174.0
20140324,4787.0,6671.0,28320.0,815.0,6480.0,8698.0
20140325,5190.0,7348.0,28800.0,753.0,6120.0,9526.0
20140326,4991.0,6932.0,29940.0,759.0,22440.0,9053.0
20140327,,,,,,
20140328,1878.0,2715.0,31140.0,1026.0,6060.0,3487.0
20140329,4248.0,5941.0,27960.0,1031.0,6600.0,7742.0
20140330,8023.0,13864.0,22380.0,2954.0,6780.0,16140.0
20140331,5264.0,7210.0,29340.0,1190.0,10320.0,9453.0
20140401,5446.0,7784.0,26280.0,996.0,7620.0,10018.0
20140402,7378.0,13598.0,27240.0,3260.0,7440.0,15333.0
20140403,7466.0,12771.0,28380.0,2824.0,8880.0,14812.0
20140404,4130.0,5892.0,29220.0,531.0,7740.0,7591.0
20140405,7937.0,14168.0,25380.0,3872.0,3840.0,16111.0
20140406,1553.0,2239.0,28380.0,299.0,5640.0,2876.0
20140407,3860.0,8667.0,30480.0,3555.0,7980.0,8909.0
20140408,7423.0,9823.0,26100.0,1209.0,7860.0,13068.0
20140409,4615.0,9682.0,25800.0,2863.0,3300.0,10304.0
20140410,9051.0,14173.0,24360.0,2068.0,9420.0,17321.0
20140411,5921.0,10470.0,27540.0,2413.0,10920.0,12039.0
20140412,9057.0,12437.0,24900.0,2016.0,4620.0,16309.0
20140413,8368.0,10610.0,24780.0,2449.0,9720.0,14375.0
20140414,6749.0,9100.0,27060.0,1743.0,7620.0,12026.0
20140415,5056.0,10969.0,27240.0,2372.0,7860.0,11394.0
20140416,5823.0,3258.0,30000.0,621.0,6480.0,4160.0
20140417,5514.0,8139.0,27300.0,1376.0,4020.0,10371.0
20140418,5821.0,10770.0,29340.0,2727.0,9780.0,12106.0
20140419,10227.0,15490.0,25200.0,2048.0,5820.0,19184.0
20140420,7495.0,11422.0,22140.0,1661.0,9660.0,14099.0
20140421,5368.0,7285.0,31620.0,3950.0,10980.0,9601.0
20140422,365.0,527.0,31620.0,53.0,7080.0,681.0
20140423,4895.0,8626.0,26400.0,821.0,5040.0,10038.0
20140424,5540.0,9214.0,29820.0,1692.0,7500.0,10984.0
20140425,5347.0,9451.0,26220.0,1079.0,5280.0,10956.0
20140426,6755.0,11535.0,22380.0,2694.0,5640.0,13511.0
20140427,4837.0,8932.0,30240.0,1917.0,12720.0,10098.0
20140428,3652.0,5172.0,29700.0,535.0,6180.0,6700.0
20140429,7421.0,11800.0,26160.0,1081.0,5100.0,14430.0
20140430,2645.0,5789.0,31620.0,2383.0,6840.0,6082.0
20140501,6514.0,10210.0,29160.0,1007.0,8640.0,12708.0
20140502,6501.0,9912.0,26700.0,1611.0,6540.0,12243.0
20140503,8523.0,12253.0,23580.0,1157.0,4200.0,15710.0
20140504,3323.0,4397.0,29580.0,2596.0,28980.0,5863.0
20140505,5683.0,10913.0,29460.0,3479.0,13080.0,12174.0
20140506,6941.0,9851.0,27480.0,1172.0,8820.0,12734.0
20140507,3729.0,7843.0,28440.0,1304.0,6840.0,8349.0
20140508,,,,,,
20140509,,,,,,
20140510,,,,,,
20140511,,,,,,
20140512,,,,,,
20140513,,,,,,
20140514,,,,,,
20140515,,,,,,
20140516,5223.0,9664.0,24120.0,2217.0,4080.0,10956.0
20140517,8893.0,13659.0,18120.0,2482.0,3720.0,16997.0
20140518,8063.0,10160.0,19920.0,4360.0,2880.0,13777.0
20140519,3309.0,4846.0,28500.0,903.0,8220.0,6193.0
20140520,6942.0,12152.0,29040.0,2020.0,6900.0,14147.0
20140521,4841.0,7015.0,26520.0,2015.0,9360.0,9019.0
20140522,6175.0,8831.0,27300.0,1496.0,5700.0,11381.0
20140523,6487.0,10766.0,30900.0,1349.0,7680.0,12896.0
20140524,6003.0,8574.0,28440.0,1388.0,11340.0,11055.0
20140525,6935.0,11225.0,23220.0,1771.0,4980.0,13565.0
20140526,6122.0,10057.0,26160.0,1590.0,10560.0,12157.0
20140527,7411.0,11938.0,27720.0,1718.0,9780.0,14477.0
20140528,5032.0,8731.0,29820.0,4320.0,6720.0,10312.0
20140529,4923.0,7108.0,27060.0,1054.0,5100.0,9136.0
20140530,8695.0,15488.0,25140.0,3059.0,5220.0,17952.0
20140531,7851.0,12068.0,21000.0,3651.0,6600.0,15032.0
20140601,7979.0,12043.0,23400.0,2066.0,5700.0,15121.0
20140602,5538.0,10622.0,29820.0,1972.0,5040.0,11795.0
20140603,7628.0,12589.0,27600.0,2785.0,7320.0,15106.0
20140604,6876.0,11066.0,25860.0,1731.0,5220.0,13493.0
20140605,6431.0,10853.0,26880.0,1902.0,4380.0,12928.0
20140606,12516.0,17126.0,20100.0,1880.0,3660.0,22499.0
20140607,2465.0,4289.0,28320.0,1087.0,6360.0,4997.0
20140608,5693.0,9080.0,25560.0,1579.0,4920.0,11098.0
20140609,6182.0,10509.0,27900.0,2101.0,5880.0,12399.0
20140610,5731.0,7924.0,27720.0,1547.0,6060.0,10359.0
20140611,3961.0,7785.0,29880.0,3136.0,3960.0,8581.0
20140612,5460.0,8192.0,26640.0,1873.0,10320.0,10379.0
20140613,6269.0,11905.0,24240.0,2381.0,5460.0,13261.0
20140614,4153.0,5735.0,24540.0,1321.0,9840.0,7504.0
20140615,7751.0,10232.0,22920.0,1807.0,3840.0,13601.0
20140616,6384.0,9058.0,20040.0,998.0,2220.0,11729.0
20140617,5975.0,8756.0,20760.0,693.0,3600.0,11182.0
20140618,6182.0,8958.0,26580.0,1166.0,6900.0,11497.0
20140619,4129.0,5819.0,27540.0,692.0,6180.0,7567.0
20140620,6583.0,9543.0,22020.0,938.0,6060.0,12281.0
20140621,6704.0,9048.0,26340.0,1324.0,14100.0,11937.0
